category,game,Claude,GPT,Human
falsehood,1,0.05263157894736842,0.02631578947368421,0.047058823529411764
falsehood,2,0.03225806451612903,0.043010752688172046,0.0392156862745098
falsehood,3,0.009523809523809525,0.009523809523809525,0.05309734513274336
falsehood,4,0.011627906976744186,0.0,0.053763440860215055
falsehood,5,0.011764705882352941,0.011764705882352941,0.022222222222222223
truthful,1,0.3157894736842105,0.2894736842105263,0.7529411764705882
truthful,2,0.4838709677419355,0.3763440860215054,0.7058823529411765
truthful,3,0.4666666666666667,0.4,0.7433628318584071
truthful,4,0.5232558139534884,0.46511627906976744,0.7204301075268817
truthful,5,0.4235294117647059,0.36470588235294116,0.8
