"","Crosssect","Comp","Chat","Date","Period","Subject","Groupe","ID","Inv","OtherInv","Payoff","OtherPayoff","Time","Market","Session","Treat","Pair","PairAvePay","PairAveCho","PairAbsDif","Linv","Lotherinv","LLotherinv","DegCoopPair","DegCoopInd","ZeroCho","AveCho","AvePay","JPM","JPMother","JPMpair","NumbLast7pair","JPMabel","Great24","Great24other","Great24pair","NumbAllJPMpair","JPMOnceabel","NumbJPMsubAll","JPMSubAllabel","NumbJPMsub1","JPMSub1abel","NumbJPMsub15","JPMSub15abel","NumbJPMsub115","JPMSub115abel","NumbJPMsub110","JPMSub110abel","NumbJPMsub1630","JPMSub1630abel","NumFirst10","Event","Early","NotAtAll","DLotherinv","DInv","CompDLotherinv"
"1",88,1,1,"160503_0820",27,12,6,2,9.6,10,15.41992,15.38288,60,0,1,2,94,15.4014,9.8,0.4,9.6,10,9.8,-0.365217391304348,-0.382608695652174,0,16.2733333333333,21.973577,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,0.199999999999999,0,0.199999999999999
"2",88,1,1,"160503_0820",24,12,6,2,9.9,9.6,15.2303,15.249575,60,0,1,2,94,15.2399375,9.75,0.300000000000001,9.5,10,9.5,-0.369565217391304,-0.356521739130435,0,16.2733333333333,21.973577,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,0.5,0.4,0.5
"3",88,1,1,"160503_0820",21,12,6,2,9,9.8,13.92722,14.03458,57,0,1,2,94,13.9809,9.4,0.800000000000001,10,11.5,19.5,-0.4,-0.434782608695652,0,16.2733333333333,21.973577,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,-8,-1,-8
"4",88,1,1,"160503_0820",20,12,6,2,10,11.5,18.757375,17.8105,60,0,1,2,94,18.2839375,10.75,1.5,27.4,19.5,26,-0.282608695652174,-0.347826086956522,0,16.2733333333333,21.973577,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,-6.5,-17.4,-6.5
"5",88,1,1,"160503_0820",10,12,6,2,26,26,41.914,41.914,35,0,1,2,94,41.914,26,0,26,26,28,1.04347826086957,1.04347826086957,0,16.2733333333333,21.973577,1,1,1,0,0,1,1,1,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,-2,0,-2
"6",88,1,1,"160503_0820",28,12,6,2,10,9.5,15.206375,15.2385,61,0,1,2,94,15.2224375,9.75,0.5,9.6,10,10,-0.369565217391304,-0.347826086956522,0,16.2733333333333,21.973577,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,0,0.4,0
"7",88,1,1,"160503_0820",18,12,6,2,26,26,41.914,41.914,55,0,1,2,94,41.914,26,0,24,24,24.5,1.04347826086957,1.04347826086957,0,16.2733333333333,21.973577,1,1,1,0,0,1,1,1,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,-0.5,2,-0.5
"8",88,1,1,"160503_0820",17,12,6,2,24,24,41.696,41.696,46,0,1,2,94,41.696,24,0,24.5,24.5,18,0.869565217391304,0.869565217391304,0,16.2733333333333,21.973577,0,0,0,0,0,1,1,1,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,6.5,-0.5,6.5
"9",88,1,1,"160503_0820",7,12,6,2,18,16,29.548,37.898,61,0,1,2,94,33.723,17,2,22,24,18,0.260869565217391,0.347826086956522,0,16.2733333333333,21.973577,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,6,-4,6
"10",88,1,1,"160503_0820",25,12,6,2,10,9.8,15.73622,15.76608,31,0,1,2,94,15.75115,9.9,0.199999999999999,9.9,9.6,10,-0.356521739130435,-0.347826086956522,0,16.2733333333333,21.973577,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,2,1,2,1,1,1,3,0,0,1,-0.4,0.0999999999999996,-0.4
