"","Subject","Comp","Period","Inv","OtherInv","Payoff","OtherPayoff"
"125",186,1,1,18,15,26.3975,38.072
"126",186,1,5,20,22,45.762,32.8759999999999
"127",186,1,28,15,16,32.728,29.4035
"128",186,1,11,20,22,45.762,32.8759999999999
"129",186,1,6,20,20,38.68,38.68
"130",186,1,3,20,26,60.058,14.596
"131",186,1,8,20,18,31.642,42.26
"132",186,1,9,21,20,36.056,42.2155
"133",186,1,4,21,20,36.056,42.2155
"134",186,1,7,20,20,38.68,38.68
"135",186,1,16,14,18,37.69,23.258
"136",186,1,10,20,22,45.762,32.8759999999999
"137",186,1,22,14,16,32.676,26.594
"138",186,1,23,16,18,37.898,29.548
"139",186,1,14,16,20,43.616,24.648
"140",186,1,19,14,18,37.69,23.258
"141",186,1,26,14,16,32.676,26.594
"142",186,1,27,14,16,32.676,26.594
"143",186,1,21,16,18,37.898,29.548
"144",186,1,29,14,13,25.2375,27.428
"145",186,1,30,12,12,22.328,22.328
"146",186,1,25,16,16,32.224,32.224
"147",186,1,18,18,16,29.548,37.898
"148",186,1,17,16,18,37.898,29.548
"149",186,1,20,16,18,37.898,29.548
"150",186,1,24,16,18,37.898,29.548
"151",187,1,22,16,14,26.594,32.676
"152",187,1,27,16,14,26.594,32.676
"153",187,1,26,16,14,26.594,32.676
"154",187,1,14,20,16,24.648,43.616
"155",187,1,16,18,14,23.258,37.69
"156",187,1,21,18,16,29.548,37.898
"157",187,1,15,18,20,42.26,31.642
"158",187,1,2,22,28,64.1079999999999,11.842
"159",187,1,23,18,16,29.548,37.898
"160",187,1,25,16,16,32.224,32.224
"161",187,1,13,18,22,48.682,25.1779999999999
"162",187,1,12,20,18,31.642,42.26
"163",187,1,3,26,20,14.596,60.058
"164",187,1,17,18,16,29.548,37.898
"165",187,1,20,18,16,29.548,37.898
"166",187,1,1,15,18,38.072,26.3975
"167",187,1,7,20,20,38.68,38.68
"168",187,1,28,16,15,29.4035,32.728
"169",187,1,24,18,16,29.548,37.898
"170",187,1,11,22,20,32.8759999999999,45.762
"171",187,1,5,22,20,32.8759999999999,45.762
"172",187,1,30,12,12,22.328,22.328
"173",187,1,8,18,20,42.26,31.642
"174",187,1,18,16,18,37.898,29.548
"175",187,1,6,20,20,38.68,38.68
"176",187,1,19,18,14,23.258,37.69
"177",187,1,4,20,21,42.2155,36.056
"178",187,1,29,13,14,27.428,25.2375
"179",187,1,9,20,21,42.2155,36.056
"180",187,1,10,22,20,32.8759999999999,45.762
"181",188,1,23,22,12,2.34799999999993,44.098
"182",188,1,21,6,14,9.914,8.26600000000002
"183",188,1,16,6,14,9.914,8.26600000000002
"184",188,1,3,6,10,5.386,9.09799999999999
"185",188,1,22,4,12,-1.72,5.704
"186",188,1,14,18,12,17.012,35.258
"187",188,1,7,0,14,-26.782,-5.85199999999998
"188",188,1,26,12,12,22.328,22.328
"189",188,1,27,14,14,27.706,27.706
"190",188,1,15,10,14,23.258,17.898
"191",188,1,2,4,14,-0.0939999999999994,3.51600000000002
"192",188,1,5,22,14,9.91399999999992,47.85
"193",188,1,29,12,14,26.594,22.78
"194",188,1,25,4,14,-0.0939999999999994,3.51600000000002
"195",188,1,12,8,14,17.698,13.06
"196",188,1,6,10,14,23.258,17.898
"197",188,1,28,22,14,9.91399999999992,47.85
"198",188,1,20,22,14,9.91399999999992,47.85
"199",188,1,13,4,14,-0.0939999999999994,3.51600000000002
"200",188,1,1,2,24,-6.836,-48.79
"201",188,1,4,12,12,22.328,22.328
"202",188,1,30,14,12,22.78,26.594
"203",188,1,11,28,14,-26.782,63.42
"204",188,1,18,18,10,10.81,30.602
"205",188,1,9,8,14,17.698,13.06
"206",188,1,17,2,12,-13.292,1.658
"207",188,1,24,6,14,9.914,8.26600000000002
"208",188,1,10,20,14,17.698,42.748
"209",188,1,19,24,12,-8.32000000000004,48.584
"210",188,1,8,26,14,-12.326,58.186
"211",189,1,15,14,10,17.898,23.258
"212",189,1,16,14,6,8.26600000000002,9.914
"213",189,1,21,14,6,8.26600000000002,9.914
"214",189,1,11,14,28,63.42,-26.782
"215",189,1,23,12,22,44.098,2.34799999999993
"216",189,1,3,10,6,9.09799999999999,5.386
"217",189,1,20,14,22,47.85,9.91399999999992
"218",189,1,27,14,14,27.706,27.706
"219",189,1,12,14,8,13.06,17.698
"220",189,1,7,14,0,-5.85199999999998,-26.782
"221",189,1,26,12,12,22.328,22.328
"222",189,1,19,12,24,48.584,-8.32000000000004
"223",189,1,22,12,4,5.704,-1.72
"224",189,1,14,12,18,35.258,17.012
"225",189,1,2,14,4,3.51600000000002,-0.0939999999999994
"226",189,1,29,14,12,22.78,26.594
"227",189,1,5,14,22,47.85,9.91399999999992
"228",189,1,6,14,10,17.898,23.258
"229",189,1,13,14,4,3.51600000000002,-0.0939999999999994
"230",189,1,28,14,22,47.85,9.91399999999992
"231",189,1,30,12,14,26.594,22.78
"232",189,1,25,14,4,3.51600000000002,-0.0939999999999994
"233",189,1,18,10,18,30.602,10.81
"234",189,1,1,24,2,-48.79,-6.836
"235",189,1,10,14,20,42.748,17.698
"236",189,1,24,14,6,8.26600000000002,9.914
"237",189,1,9,14,8,13.06,17.698
"238",189,1,17,12,2,1.658,-13.292
"239",189,1,4,12,12,22.328,22.328
"240",189,1,8,14,26,58.186,-12.326
"241",190,1,7,12,12,22.328,22.328
"242",190,1,1,8,12,14.752,13.928
"243",190,1,8,14,14,27.706,27.706
"244",190,1,2,10,10,16.09,16.09
"245",190,1,9,16,16,32.224,32.224
"246",190,1,6,10,18,30.602,10.81
"247",190,1,4,16,8,9.96800000000001,20.688
"248",190,1,23,18,18,35.882,35.882
"249",190,1,5,18,12,17.012,35.258
"250",190,1,26,24,24,41.696,41.696
"251",190,1,20,12,12,22.328,22.328
"252",190,1,21,14,14,27.706,27.706
"253",190,1,15,18,20,42.26,31.642
"254",190,1,28,20,24,52.888,24.848
"255",190,1,27,24,24,41.696,41.696
"256",190,1,22,16,16,32.224,32.224
"257",190,1,25,22,22,40.6179999999999,40.6179999999999
"258",190,1,3,10,16,26.908,15.466
"259",190,1,29,12,12,22.328,22.328
"260",190,1,14,26,24,32.764,50.186
"261",190,1,24,20,20,38.68,38.68
"262",190,1,16,10,18,30.602,10.81
"263",190,1,10,18,18,35.882,35.882
"264",190,1,30,8,12,14.752,13.928
"265",190,1,13,24,24,41.696,41.696
"266",190,1,18,14,16,32.676,26.594
"267",190,1,12,22,22,40.6179999999999,40.6179999999999
"268",190,1,19,18,14,23.258,37.69
"269",190,1,11,20,20,38.68,38.68
"270",190,1,17,12,12,22.328,22.328
"271",191,1,14,24,26,50.186,32.764
"272",191,1,20,12,12,22.328,22.328
"273",191,1,12,22,22,40.6179999999999,40.6179999999999
"274",191,1,19,14,18,37.69,23.258
"275",191,1,13,24,24,41.696,41.696
"276",191,1,18,16,14,26.594,32.676
"277",191,1,1,12,8,13.928,14.752
"278",191,1,21,14,14,27.706,27.706
"279",191,1,15,20,18,31.642,42.26
"280",191,1,7,12,12,22.328,22.328
"281",191,1,17,12,12,22.328,22.328
"282",191,1,2,10,10,16.09,16.09
"283",191,1,28,24,20,24.848,52.888
"284",191,1,6,18,10,10.81,30.602
"285",191,1,9,16,16,32.224,32.224
"286",191,1,4,8,16,20.688,9.96800000000001
"287",191,1,3,16,10,15.466,26.908
"288",191,1,16,18,10,10.81,30.602
"289",191,1,10,18,18,35.882,35.882
"290",191,1,11,20,20,38.68,38.68
"291",191,1,5,12,18,35.258,17.012
"292",191,1,26,24,24,41.696,41.696
"293",191,1,8,14,14,27.706,27.706
"294",191,1,27,24,24,41.696,41.696
"295",191,1,25,22,22,40.6179999999999,40.6179999999999
"296",191,1,22,16,16,32.224,32.224
"297",191,1,29,12,12,22.328,22.328
"298",191,1,23,18,18,35.882,35.882
"299",191,1,30,12,8,13.928,14.752
"300",191,1,24,20,20,38.68,38.68
"301",192,1,23,12,16,30.904,21.008
"302",192,1,27,14,16,32.676,26.594
"303",192,1,14,16,14.8,28.84072,32.76208
"304",192,1,22,14,14,27.706,27.706
"305",192,1,7,18,18,35.882,35.882
"306",192,1,21,16,16,32.224,32.224
"307",192,1,30,14,11.6,21.80008,26.10472
"308",192,1,13,16,14,26.594,32.676
"309",192,1,6,22,18,25.1779999999999,48.682
"310",192,1,1,28,15,-21.9925,65.452
"311",192,1,3,10,18,30.602,10.81
"312",192,1,18,15,14,27.428,30.1855
"313",192,1,25,12,10,18.106,19.652
"314",192,1,26,13,13,25.1245,25.1245
"315",192,1,2,18,8,4.65200000000004,23.722
"316",192,1,29,13,28,60.832,-31.5605
"317",192,1,17,14,18,37.69,23.258
"318",192,1,9,18,14,23.258,37.69
"319",192,1,12,2,12,-13.292,1.658
"320",192,1,5,18,18,35.882,35.882
"321",192,1,24,13,18,36.752,20.1295
"322",192,1,19,15,16,32.728,29.4035
"323",192,1,4,18,28,68.212,-7.55799999999998
"324",192,1,11,18,12,17.012,35.258
"325",192,1,28,11,14,25.204,20.3335
"326",192,1,8,16,28,66.928,-17.192
"327",192,1,20,16,10,15.466,26.908
"328",192,1,10,16,10,15.466,26.908
"329",192,1,15,14,14,27.706,27.706
"330",192,1,16,15,28,65.452,-21.9925
"331",193,1,23,16,12,21.008,30.904
"332",193,1,12,12,2,1.658,-13.292
"333",193,1,21,16,16,32.224,32.224
"334",193,1,7,18,18,35.882,35.882
"335",193,1,14,14.8,16,32.76208,28.84072
"336",193,1,22,14,14,27.706,27.706
"337",193,1,13,14,16,32.676,26.594
"338",193,1,20,10,16,26.908,15.466
"339",193,1,1,15,28,65.452,-21.9925
"340",193,1,27,16,14,26.594,32.676
"341",193,1,30,11.6,14,26.10472,21.80008
"342",193,1,18,14,15,30.1855,27.428
"343",193,1,11,12,18,35.258,17.012
"344",193,1,3,18,10,10.81,30.602
"345",193,1,25,10,12,19.652,18.106
"346",193,1,19,16,15,29.4035,32.728
"347",193,1,6,18,22,48.682,25.1779999999999
"348",193,1,2,8,18,23.722,4.65200000000004
"349",193,1,26,13,13,25.1245,25.1245
"350",193,1,29,28,13,-31.5605,60.832
"351",193,1,16,28,15,-21.9925,65.452
"352",193,1,4,28,18,-7.55799999999998,68.212
"353",193,1,5,18,18,35.882,35.882
"354",193,1,24,18,13,20.1295,36.752
"355",193,1,17,18,14,23.258,37.69
"356",193,1,9,14,18,37.69,23.258
"357",193,1,28,14,11,20.3335,25.204
"358",193,1,15,14,14,27.706,27.706
"359",193,1,10,10,16,26.908,15.466
"360",193,1,8,28,16,-17.192,66.928
"361",194,1,21,14,18,37.69,23.258
"362",194,1,22,16,18,37.898,29.548
"363",194,1,2,28,18,-7.55799999999998,68.212
"364",194,1,27,6,14,9.914,8.26600000000002
"365",194,1,12,16,14,26.594,32.676
"366",194,1,25,8,16,20.688,9.96800000000001
"367",194,1,13,26,18,5.57799999999996,61.658
"368",194,1,23,16,16,32.224,32.224
"369",194,1,1,18,18,35.882,35.882
"370",194,1,26,12,12,22.328,22.328
"371",194,1,20,12,22,44.098,2.34799999999993
"372",194,1,7,16,18,37.898,29.548
"373",194,1,3,18,12,17.012,35.258
"374",194,1,24,6,18,14.618,-1.46199999999996
"375",194,1,30,18,18,35.882,35.882
"376",194,1,11,28,18,-7.55799999999998,68.212
"377",194,1,14,18,18,35.882,35.882
"378",194,1,28,10,12,19.652,18.106
"379",194,1,19,12,18,35.258,17.012
"380",194,1,18,8,12,14.752,13.928
"381",194,1,6,22,28,64.1079999999999,11.842
"382",194,1,8,20,12,10.792,39.656
"383",194,1,29,8,14,17.698,13.06
"384",194,1,16,6,18,14.618,-1.46199999999996
"385",194,1,10,18,28,68.212,-7.55799999999998
"386",194,1,15,28,18,-7.55799999999998,68.212
"387",194,1,17,6,18,14.618,-1.46199999999996
"388",194,1,5,22,18,25.1779999999999,48.682
"389",194,1,4,12,18,35.258,17.012
"390",194,1,9,18,18,35.882,35.882
"391",195,1,7,18,16,29.548,37.898
"392",195,1,11,18,28,68.212,-7.55799999999998
"393",195,1,14,18,18,35.882,35.882
"394",195,1,13,18,26,61.658,5.57799999999996
"395",195,1,6,28,22,11.842,64.1079999999999
"396",195,1,1,18,18,35.882,35.882
"397",195,1,2,18,28,68.212,-7.55799999999998
"398",195,1,10,28,18,-7.55799999999998,68.212
"399",195,1,4,18,12,17.012,35.258
"400",195,1,5,18,22,48.682,25.1779999999999
"401",195,1,12,14,16,32.676,26.594
"402",195,1,17,18,6,-1.46199999999996,14.618
"403",195,1,8,12,20,39.656,10.792
"404",195,1,9,18,18,35.882,35.882
"405",195,1,21,18,14,23.258,37.69
"406",195,1,15,18,28,68.212,-7.55799999999998
"407",195,1,24,18,6,-1.46199999999996,14.618
"408",195,1,27,14,6,8.26600000000002,9.914
"409",195,1,22,18,16,29.548,37.898
"410",195,1,23,16,16,32.224,32.224
"411",195,1,28,12,10,18.106,19.652
"412",195,1,25,16,8,9.96800000000001,20.688
"413",195,1,20,22,12,2.34799999999993,44.098
"414",195,1,3,12,18,35.258,17.012
"415",195,1,26,12,12,22.328,22.328
"416",195,1,30,18,18,35.882,35.882
"417",195,1,18,12,8,13.928,14.752
"418",195,1,19,18,12,17.012,35.258
"419",195,1,16,18,6,-1.46199999999996,14.618
"420",195,1,29,14,8,13.06,17.698
"421",196,1,7,2,22,-8.022,-34.8220000000001
"422",196,1,14,16,20.2,44.19022,24.03568
"423",196,1,20,16,14.6,28.27838,32.77392
"424",196,1,27,14.5,19.3,41.340445,21.572605
"425",196,1,21,14.6,16.6,34.3329,27.5705
"426",196,1,19,17,20,43.216,28.1395
"427",196,1,13,20.7,24,51.57158,27.7836949999999
"428",196,1,25,15.6,12.5,22.899695,30.65698
"429",196,1,1,2,0,-18.164,-27.958
"430",196,1,2,0,28,-23.408,-92.68
"431",196,1,26,23.8,12.5,-5.11724500000005,49.42842
"432",196,1,29,18.9,19,37.58122,37.053155
"433",196,1,11,24,0.8,-53.57248,-17.22272
"434",196,1,12,24.6,28,56.66992,24.54638
"435",196,1,16,19,0,-24.352,-25.8245
"436",196,1,18,18,14,23.258,37.69
"437",196,1,30,19,20,40.748,35.1555
"438",196,1,5,28,28,41.272,41.272
"439",196,1,15,14.5,0,-7.0765,-26.698625
"440",196,1,28,17,12.9,21.944755,34.29662
"441",196,1,10,16,10,15.466,26.908
"442",196,1,6,28,24,21.608,58.72
"443",196,1,9,28,20,2.12000000000002,67.272
"444",196,1,17,13.5,28,62.1955,-29.172625
"445",196,1,23,28,8.1,-54.816145,40.11382
"446",196,1,4,26,0,-73.604,-24.022
"447",196,1,3,0,24,-24.592,-56.752
"448",196,1,24,18.2,20.2,42.6489,31.8041
"449",196,1,8,28,28,41.272,41.272
"450",196,1,22,28,24.2,22.58702,58.05888
"451",197,1,1,0,2,-27.958,-18.164
"452",197,1,7,22,2,-34.8220000000001,-8.022
"453",197,1,11,0.8,24,-17.22272,-53.57248
"454",197,1,20,14.6,16,32.77392,28.27838
"455",197,1,21,16.6,14.6,27.5705,34.3329
"456",197,1,27,19.3,14.5,21.572605,41.340445
"457",197,1,30,20,19,35.1555,40.748
"458",197,1,2,28,0,-92.68,-23.408
"459",197,1,14,20.2,16,24.03568,44.19022
"460",197,1,25,12.5,15.6,30.65698,22.899695
"461",197,1,10,10,16,26.908,15.466
"462",197,1,5,28,28,41.272,41.272
"463",197,1,19,20,17,28.1395,43.216
"464",197,1,26,12.5,23.8,49.42842,-5.11724500000005
"465",197,1,29,19,18.9,37.053155,37.58122
"466",197,1,6,24,28,58.72,21.608
"467",197,1,12,28,24.6,24.54638,56.66992
"468",197,1,13,24,20.7,27.7836949999999,51.57158
"469",197,1,18,14,18,37.69,23.258
"470",197,1,4,0,26,-24.022,-73.604
"471",197,1,9,20,28,67.272,2.12000000000002
"472",197,1,3,24,0,-56.752,-24.592
"473",197,1,16,0,19,-25.8245,-24.352
"474",197,1,23,8.1,28,40.11382,-54.816145
"475",197,1,8,28,28,41.272,41.272
"476",197,1,17,28,13.5,-29.172625,62.1955
"477",197,1,24,20.2,18.2,31.8041,42.6489
"478",197,1,22,24.2,28,58.05888,22.58702
"479",197,1,15,0,14.5,-26.698625,-7.0765
"480",197,1,28,12.9,17,34.29662,21.944755
"481",198,1,11,12,10,18.106,19.652
"482",198,1,21,16,14,26.594,32.676
"483",198,1,20,16,16,32.224,32.224
"484",198,1,25,15,9.9,16.700555,24.83582
"485",198,1,5,10,20,34.34,3.93000000000003
"486",198,1,12,18,14,23.258,37.69
"487",198,1,19,16,16.8,34.48832,31.42048
"488",198,1,14,11,13.5,24.215875,20.5115
"489",198,1,27,13,12.5,23.976875,24.8595
"490",198,1,7,14,20,42.748,17.698
"491",198,1,1,20,0,-29.72,-25.6
"492",198,1,13,13,14,27.428,25.2375
"493",198,1,10,13,6,9.308,8.7655
"494",198,1,30,10,10,16.09,16.09
"495",198,1,6,7,14,14.084,10.6575
"496",198,1,2,14,28,63.42,-26.782
"497",198,1,26,14,10,17.898,23.258
"498",198,1,4,16,14,26.594,32.676
"499",198,1,23,13,15.8,31.60202,24.03978
"500",198,1,9,12,7,11.8555,11.468
"501",198,1,16,19,15,24.0605,40.7605
"502",198,1,29,11,12,21.268,20.2115
"503",198,1,18,16,14.5,27.997375,32.7715
"504",198,1,8,13,28,60.832,-31.5605
"505",198,1,15,13.9,11.9,22.566725,26.267325
"506",198,1,28,12,9,16.0115,17.48
"507",198,1,22,16,12,21.008,30.904
"508",198,1,24,15.7,8,10.57358,20.236695
"509",198,1,3,10,16,26.908,15.466
"510",198,1,17,16,15.5,30.812375,32.5455
"511",199,1,1,0,20,-25.6,-29.72
"512",199,1,28,9,12,17.48,16.0115
"513",199,1,19,16.8,16,31.42048,34.48832
"514",199,1,25,9.9,15,24.83582,16.700555
"515",199,1,7,20,14,17.698,42.748
"516",199,1,8,28,13,-31.5605,60.832
"517",199,1,17,15.5,16,32.5455,30.812375
"518",199,1,20,16,16,32.224,32.224
"519",199,1,21,14,16,32.676,26.594
"520",199,1,27,12.5,13,24.8595,23.976875
"521",199,1,15,11.9,13.9,26.267325,22.566725
"522",199,1,18,14.5,16,32.7715,27.997375
"523",199,1,14,13.5,11,20.5115,24.215875
"524",199,1,26,10,14,23.258,17.898
"525",199,1,22,12,16,30.904,21.008
"526",199,1,13,14,13,25.2375,27.428
"527",199,1,30,10,10,16.09,16.09
"528",199,1,24,8,15.7,20.236695,10.57358
"529",199,1,2,28,14,-26.782,63.42
"530",199,1,29,12,11,20.2115,21.268
"531",199,1,16,15,19,40.7605,24.0605
"532",199,1,10,6,13,8.7655,9.308
"533",199,1,12,14,18,37.69,23.258
"534",199,1,9,7,12,11.468,11.8555
"535",199,1,23,15.8,13,24.03978,31.60202
"536",199,1,11,10,12,19.652,18.106
"537",199,1,6,14,7,10.6575,14.084
"538",199,1,3,16,10,15.466,26.908
"539",199,1,4,14,16,32.676,26.594
"540",199,1,5,20,10,3.93000000000003,34.34
"541",686,1,6,14,18,37.69,23.258
"542",686,1,28,26,26,41.914,41.914
"543",686,1,7,14,18,37.69,23.258
"544",686,1,5,16,18,37.898,29.548
"545",686,1,2,26,28,51.108,31.418
"546",686,1,13,20,16,24.648,43.616
"547",686,1,14,18,18,35.882,35.882
