paper_id,tag,accuracy,macro_f1,precision_f,recall_f,f1_f,precision_f?,recall_f?,f1_f?,precision_t,recall_t,f1_t,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true
4,uninformative,0.78125,0.5024619260277109,0.8378378378378378,0.9117647058823529,0.8732394366197183,0.0,0.0,0.0,0.8125,0.52,0.6341463414634146,,,,,,
4,SDB,0.5416666666666666,0.5398692810457516,,,,,,,,,,0.5918367346938775,0.5471698113207547,0.5686274509803921,0.48936170212765956,0.5348837209302325,0.5111111111111111
4,overest. others,0.6145833333333334,0.4262639315134873,,,,,,,,,,0.75,0.76,0.7549668874172185,0.1,0.09523809523809523,0.0975609756097561
4,underest. own,0.78125,0.4813480833547723,,,,,,,,,,0.9487179487179487,0.8131868131868132,0.8757396449704142,0.05555555555555555,0.2,0.08695652173913043
4,academic integrity,0.7395833333333334,0.49227840067696216,,,,,,,,,,0.8414634146341463,0.8518518518518519,0.8466257668711656,0.14285714285714285,0.13333333333333333,0.13793103448275862
4,info asymmetry,0.6458333333333334,0.4987714987714988,,,,,,,,,,0.7916666666666666,0.75,0.7702702702702703,0.20833333333333334,0.25,0.22727272727272727
4,privacy concerns,0.9583333333333334,0.48936170212765956,,,,,,,,,,0.968421052631579,0.989247311827957,0.9787234042553191,0.0,0.0,0.0
4,self-report bias,0.84375,0.4576271186440678,,,,,,,,,,0.9878048780487805,0.8526315789473684,0.9152542372881356,0.0,0.0,0.0
4,network effect,0.96875,0.49206349206349204,,,,,,,,,,0.9893617021276596,0.9789473684210527,0.9841269841269841,0.0,0.0,0.0
4,truthful,0.9583333333333334,0.48936170212765956,,,,,,,,,,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.0,0.0,0.0
