"","Session","Crosssect","Comp","Pair","Period","Subject","Groupe","ID","Inv","OtherInv","Payoff","OtherPayoff"
"1",2,182,1,191,26,18,9,2,22,22,40.6179999999999,40.6179999999999
"2",2,182,1,191,27,18,9,2,24,24,41.696,41.696
"3",2,182,1,191,28,18,9,2,26,26,41.914,41.914
"4",2,182,1,191,25,18,9,2,20,20,38.68,38.68
"5",2,182,1,191,20,18,9,2,14,13,25.2375,27.428
"6",2,182,1,191,8,18,9,2,18,12,17.012,35.258
"7",2,182,1,191,22,18,9,2,16,14,26.594,32.676
"8",2,182,1,191,19,18,9,2,14,12,22.78,26.594
"9",2,182,1,191,21,18,9,2,14,14,27.706,27.706
"10",2,182,1,191,15,18,9,2,11,10,17.376,17.8655
"11",2,182,1,191,2,18,9,2,10,16,26.908,15.466
"12",2,182,1,191,29,18,9,2,28,26,31.418,51.108
"13",2,182,1,191,7,18,9,2,20,26,60.058,14.596
"14",2,182,1,191,1,18,9,2,26,14,-12.326,58.186
"15",2,182,1,191,18,18,9,2,12,12,22.328,22.328
"16",2,182,1,191,9,18,9,2,20,10,3.93000000000003,34.34
"17",2,182,1,191,5,18,9,2,15,16,32.728,29.4035
"18",2,182,1,191,17,18,9,2,12,11,20.2115,21.268
"19",2,182,1,191,13,18,9,2,11,14,25.204,20.3335
"20",2,182,1,191,16,18,9,2,12,10,18.106,19.652
"21",2,182,1,191,4,18,9,2,10,28,49.732,-45.83
"22",2,182,1,191,10,18,9,2,10,8,12.572,11.85
"23",2,182,1,191,11,18,9,2,12,12,22.328,22.328
"24",2,182,1,191,14,18,9,2,11,11,19.3165,19.3165
"25",2,182,1,191,23,18,9,2,16,16,32.224,32.224
"26",2,182,1,191,24,18,9,2,18,18,35.882,35.882
"27",2,182,1,191,6,18,9,2,12,28,57.688,-36.328
"28",2,182,1,191,12,18,9,2,10,10,16.09,16.09
"29",2,182,1,191,3,18,9,2,5,18,9.232,-4.50249999999997
"30",2,182,1,191,30,18,9,2,18,18,35.882,35.882
"31",2,183,1,191,14,17,9,1,11,11,19.3165,19.3165
"32",2,183,1,191,28,17,9,1,26,26,41.914,41.914
"33",2,183,1,191,7,17,9,1,26,20,14.596,60.058
"34",2,183,1,191,9,17,9,1,10,20,34.34,3.93000000000003
"35",2,183,1,191,3,17,9,1,18,5,-4.50249999999997,9.232
"36",2,183,1,191,16,17,9,1,10,12,19.652,18.106
"37",2,183,1,191,23,17,9,1,16,16,32.224,32.224
"38",2,183,1,191,13,17,9,1,14,11,20.3335,25.204
"39",2,183,1,191,2,17,9,1,16,10,15.466,26.908
"40",2,183,1,191,15,17,9,1,10,11,17.8655,17.376
"41",2,183,1,191,22,17,9,1,14,16,32.676,26.594
"42",2,183,1,191,8,17,9,1,12,18,35.258,17.012
"43",2,183,1,191,27,17,9,1,24,24,41.696,41.696
"44",2,183,1,191,5,17,9,1,16,15,29.4035,32.728
"45",2,183,1,191,29,17,9,1,26,28,51.108,31.418
"46",2,183,1,191,25,17,9,1,20,20,38.68,38.68
"47",2,183,1,191,1,17,9,1,14,26,58.186,-12.326
"48",2,183,1,191,21,17,9,1,14,14,27.706,27.706
"49",2,183,1,191,18,17,9,1,12,12,22.328,22.328
"50",2,183,1,191,30,17,9,1,18,18,35.882,35.882
"51",2,183,1,191,24,17,9,1,18,18,35.882,35.882
"52",2,183,1,191,4,17,9,1,28,10,-45.83,49.732
"53",2,183,1,191,17,17,9,1,11,12,21.268,20.2115
"54",2,183,1,191,12,17,9,1,10,10,16.09,16.09
"55",2,183,1,191,19,17,9,1,12,14,26.594,22.78
"56",2,183,1,191,26,17,9,1,22,22,40.6179999999999,40.6179999999999
"57",2,183,1,191,6,17,9,1,28,12,-36.328,57.688
"58",2,183,1,191,11,17,9,1,12,12,22.328,22.328
"59",2,183,1,191,10,17,9,1,8,10,11.85,12.572
"60",2,183,1,191,20,17,9,1,13,14,27.428,25.2375
"61",2,184,1,192,3,16,8,2,14,20,42.748,17.698
"62",2,184,1,192,16,16,8,2,16,18,37.898,29.548
"63",2,184,1,192,9,16,8,2,16,14,26.594,32.676
"64",2,184,1,192,7,16,8,2,13,12,22.832,24.4555
"65",2,184,1,192,14,16,8,2,14,20,42.748,17.698
"66",2,184,1,192,23,16,8,2,13,16,32.068,23.7955
"67",2,184,1,192,8,16,8,2,14,16,32.676,26.594
"68",2,184,1,192,15,16,8,2,16,12,21.008,30.904
"69",2,184,1,192,28,16,8,2,16,15,29.4035,32.728
"70",2,184,1,192,22,16,8,2,12,20,39.656,10.792
"71",2,184,1,192,27,16,8,2,16,16,32.224,32.224
"72",2,184,1,192,13,16,8,2,10,16,26.908,15.466
"73",2,184,1,192,18,16,8,2,16,18,37.898,29.548
"74",2,184,1,192,19,16,8,2,18,24,55.148,16.49
"75",2,184,1,192,25,16,8,2,15,8,11.792,19.1875
"76",2,184,1,192,2,16,8,2,22,6,-20.0860000000001,19.498
"77",2,184,1,192,5,16,8,2,18,6,-1.46199999999996,14.618
"78",2,184,1,192,12,16,8,2,20,28,67.272,2.12000000000002
"79",2,184,1,192,26,16,8,2,15,16,32.728,29.4035
"80",2,184,1,192,21,16,8,2,10,28,49.732,-45.83
"81",2,184,1,192,6,16,8,2,16,10,15.466,26.908
"82",2,184,1,192,17,16,8,2,18,22,48.682,25.1779999999999
"83",2,184,1,192,29,16,8,2,12,11,20.2115,21.268
"84",2,184,1,192,1,16,8,2,18,2,-13.558,-10.262
"85",2,184,1,192,4,16,8,2,14,22,47.85,9.91399999999992
"86",2,184,1,192,10,16,8,2,16,20,43.616,24.648
"87",2,184,1,192,11,16,8,2,18,24,55.148,16.49
"88",2,184,1,192,20,16,8,2,20,0,-29.72,-25.6
"89",2,184,1,192,24,16,8,2,14,10,17.898,23.258
"90",2,184,1,192,30,16,8,2,14,27,60.7975,-19.2760000000001
"91",2,185,1,192,9,15,8,1,14,16,32.676,26.594
"92",2,185,1,192,23,15,8,1,16,13,23.7955,32.068
"93",2,185,1,192,7,15,8,1,12,13,24.4555,22.832
"94",2,185,1,192,28,15,8,1,15,16,32.728,29.4035
"95",2,185,1,192,27,15,8,1,16,16,32.224,32.224
"96",2,185,1,192,8,15,8,1,16,14,26.594,32.676
"97",2,185,1,192,14,15,8,1,20,14,17.698,42.748
"98",2,185,1,192,22,15,8,1,20,12,10.792,39.656
"99",2,185,1,192,25,15,8,1,8,15,19.1875,11.792
"100",2,185,1,192,21,15,8,1,28,10,-45.83,49.732
"101",2,185,1,192,3,15,8,1,20,14,17.698,42.748
"102",2,185,1,192,16,15,8,1,18,16,29.548,37.898
"103",2,185,1,192,26,15,8,1,16,15,29.4035,32.728
"104",2,185,1,192,1,15,8,1,2,18,-10.262,-13.558
"105",2,185,1,192,13,15,8,1,16,10,15.466,26.908
"106",2,185,1,192,15,15,8,1,12,16,30.904,21.008
"107",2,185,1,192,19,15,8,1,24,18,16.49,55.148
"108",2,185,1,192,20,15,8,1,0,20,-25.6,-29.72
"109",2,185,1,192,2,15,8,1,6,22,19.498,-20.0860000000001
"110",2,185,1,192,5,15,8,1,6,18,14.618,-1.46199999999996
"111",2,185,1,192,29,15,8,1,11,12,21.268,20.2115
"112",2,185,1,192,30,15,8,1,27,14,-19.2760000000001,60.7975
"113",2,185,1,192,6,15,8,1,10,16,26.908,15.466
"114",2,185,1,192,18,15,8,1,18,16,29.548,37.898
"115",2,185,1,192,12,15,8,1,28,20,2.12000000000002,67.272
"116",2,185,1,192,10,15,8,1,20,16,24.648,43.616
"117",2,185,1,192,4,15,8,1,22,14,9.91399999999992,47.85
"118",2,185,1,192,11,15,8,1,24,18,16.49,55.148
"119",2,185,1,192,17,15,8,1,22,18,25.1779999999999,48.682
"120",2,185,1,192,24,15,8,1,10,14,23.258,17.898
"121",2,186,1,193,2,14,7,2,28,22,11.842,64.1079999999999
"122",2,186,1,193,15,14,7,2,20,18,31.642,42.26
"123",2,186,1,193,12,14,7,2,18,20,42.26,31.642
"124",2,186,1,193,13,14,7,2,22,18,25.1779999999999,48.682
"125",2,186,1,193,1,14,7,2,18,15,26.3975,38.072
"126",2,186,1,193,5,14,7,2,20,22,45.762,32.8759999999999
"127",2,186,1,193,28,14,7,2,15,16,32.728,29.4035
"128",2,186,1,193,11,14,7,2,20,22,45.762,32.8759999999999
"129",2,186,1,193,6,14,7,2,20,20,38.68,38.68
"130",2,186,1,193,3,14,7,2,20,26,60.058,14.596
"131",2,186,1,193,8,14,7,2,20,18,31.642,42.26
"132",2,186,1,193,9,14,7,2,21,20,36.056,42.2155
"133",2,186,1,193,4,14,7,2,21,20,36.056,42.2155
"134",2,186,1,193,7,14,7,2,20,20,38.68,38.68
"135",2,186,1,193,16,14,7,2,14,18,37.69,23.258
"136",2,186,1,193,10,14,7,2,20,22,45.762,32.8759999999999
"137",2,186,1,193,22,14,7,2,14,16,32.676,26.594
"138",2,186,1,193,23,14,7,2,16,18,37.898,29.548
"139",2,186,1,193,14,14,7,2,16,20,43.616,24.648
"140",2,186,1,193,19,14,7,2,14,18,37.69,23.258
"141",2,186,1,193,26,14,7,2,14,16,32.676,26.594
"142",2,186,1,193,27,14,7,2,14,16,32.676,26.594
"143",2,186,1,193,21,14,7,2,16,18,37.898,29.548
"144",2,186,1,193,29,14,7,2,14,13,25.2375,27.428
"145",2,186,1,193,30,14,7,2,12,12,22.328,22.328
"146",2,186,1,193,25,14,7,2,16,16,32.224,32.224
"147",2,186,1,193,18,14,7,2,18,16,29.548,37.898
"148",2,186,1,193,17,14,7,2,16,18,37.898,29.548
"149",2,186,1,193,20,14,7,2,16,18,37.898,29.548
"150",2,186,1,193,24,14,7,2,16,18,37.898,29.548
"151",2,187,1,193,22,13,7,1,16,14,26.594,32.676
"152",2,187,1,193,27,13,7,1,16,14,26.594,32.676
"153",2,187,1,193,26,13,7,1,16,14,26.594,32.676
"154",2,187,1,193,14,13,7,1,20,16,24.648,43.616
"155",2,187,1,193,16,13,7,1,18,14,23.258,37.69
"156",2,187,1,193,21,13,7,1,18,16,29.548,37.898
"157",2,187,1,193,15,13,7,1,18,20,42.26,31.642
