paper_id,tag,accuracy,macro_f1,precision_f,recall_f,f1_f,precision_f?,recall_f?,f1_f?,precision_t,recall_t,f1_t,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true
4,uninformative,0.7291666666666666,0.5214940098661028,0.8852459016393442,0.7941176470588235,0.8372093023255814,0.0,0.0,0.0,0.8421052631578947,0.64,0.7272727272727273,,,,,,
4,SDB,0.5520833333333334,0.5508649766075508,,,,,,,,,,0.6041666666666666,0.5471698113207547,0.5742574257425742,0.5,0.5581395348837209,0.5274725274725275
4,overest. others,0.6354166666666666,0.4755735913844233,,,,,,,,,,0.7702702702702703,0.76,0.7651006711409396,0.18181818181818182,0.19047619047619047,0.18604651162790697
4,underest. own,0.7604166666666666,0.5043771043771044,,,,,,,,,,0.9594594594594594,0.7802197802197802,0.8606060606060606,0.09090909090909091,0.4,0.14814814814814814
4,academic integrity,0.7291666666666666,0.5125,,,,,,,,,,0.8481012658227848,0.8271604938271605,0.8375,0.17647058823529413,0.2,0.1875
4,info asymmetry,0.6770833333333334,0.5501133786848073,,,,,,,,,,0.8169014084507042,0.7631578947368421,0.7891156462585034,0.28,0.35,0.3111111111111111
4,privacy concerns,0.9583333333333334,0.48936170212765956,,,,,,,,,,0.968421052631579,0.989247311827957,0.9787234042553191,0.0,0.0,0.0
4,self-report bias,0.625,0.40943267259056737,,,,,,,,,,1.0,0.6210526315789474,0.7662337662337663,0.02702702702702703,1.0,0.05263157894736842
4,network effect,0.9479166666666666,0.48663101604278075,,,,,,,,,,0.9891304347826086,0.9578947368421052,0.9732620320855615,0.0,0.0,0.0
4,truthful,0.96875,0.49206349206349204,,,,,,,,,,0.9789473684210527,0.9893617021276596,0.9841269841269841,0.0,0.0,0.0
